Student,StudyHours,Attendance,SleepHours,ExamScore
245,5,80,6,47.29
246,10,92,4,76.1
247,14,94,7,80.7
248,9,99,7,71.74
249,14,88,4,78.05
250,8,88,9,72.14
251,11,67,4,67.3
252,7,70,6,53.68
253,12,60,8,66.21
254,5,89,4,53.26
255,14,69,7,78.43
256,15,77,7,79.24
257,11,90,5,68.15
258,7,98,8,66.6
259,15,68,4,72.24
260,10,81,8,76.27
261,8,60,6,53.26
262,13,91,5,68.66
263,11,94,7,71.65
264,12,84,7,78.49
265,9,72,9,65.58
266,10,62,6,64.52
267,15,90,9,90.85
268,14,69,7,73.37
269,4,68,8,52.11
270,5,88,4,50.62
271,12,89,4,70.59
272,14,69,4,66.85
273,11,76,6,64.72
274,5,81,9,53.98
275,12,84,6,66.96
276,11,94,4,64.02
277,13,64,5,61.98
278,7,65,7,47.99
279,5,100,9,65.52
280,15,79,4,73.59
281,4,80,4,45.16
282,6,75,8,60.03
283,10,96,9,75.94
284,5,99,7,56.84
285,13,75,7,76.3
286,11,100,6,73.64
287,11,76,9,79.32
288,8,94,5,63.53
289,5,88,6,57.76
290,10,76,7,66.04
291,8,72,7,60.65
292,10,96,6,69.29
293,13,78,9,75.2
294,14,85,6,89.3
295,4,96,9,60.41
296,13,91,6,67.09
297,7,98,6,63.5
298,8,68,9,63.85
299,5,100,9,69.34
300,4,97,6,56.03
301,15,68,4,76.4
302,10,71,5,59.89
303,6,94,6,50.32
304,6,76,7,53.4
305,8,81,4,56.15
306,7,85,8,62.41
307,9,65,7,65.14
308,11,83,9,74.63
309,15,76,8,77.62
310,9,66,9,67.38
311,7,90,4,50.6
312,9,99,5,60.86
313,14,64,9,80.82
314,8,86,4,51.36
315,6,62,4,44.84
316,5,75,8,57.89
317,6,84,7,50.77
318,15,94,7,92.78
319,13,69,7,68.34
320,13,86,6,69.94
321,4,83,5,39.4
322,9,66,9,66.92
323,9,94,9,69.36
324,7,67,7,58.33
325,5,73,9,47.59
326,4,81,5,39.82
327,6,96,5,64.29
328,7,97,5,64.05
329,7,81,5,57.69
330,8,69,5,50.37
331,12,76,5,75.09
332,6,60,6,53.91
333,7,97,6,65.83
334,6,86,8,59.91
335,5,64,7,45.11
336,13,66,7,72.91
337,12,74,8,79.54
338,14,93,6,82.98
339,11,61,4,67.85
340,10,66,7,63.23
341,15,88,4,82.24
342,6,64,5,46.41
343,8,99,9,65.17
344,10,98,8,71.17
345,8,89,8,64.66
346,15,67,9,79.48
347,14,95,9,89.01
348,7,86,6,56.23
349,11,85,7,71.36
350,9,76,6,58.57
351,6,90,4,56.22
352,10,66,9,67.22
353,15,83,5,74.41
354,12,95,6,74.26
355,14,67,7,71.21
356,10,63,6,65.61
357,13,79,6,77.89
358,6,90,5,59.18
359,5,82,8,51.03
360,13,74,7,79.12
361,12,99,8,77.98
362,13,77,4,65.95
363,6,77,9,59.1
364,9,60,5,46.7
365,6,96,9,62.3
366,14,61,4,69.79
367,15,93,5,79.27
368,6,83,6,58.79
369,15,80,8,76.18
370,6,70,8,50.09
371,4,65,6,40.76
372,13,88,7,79.77
373,8,73,8,64.5
374,8,97,7,69.78
375,12,79,4,70.43
376,4,60,5,53.05
377,8,73,5,57.09
378,5,60,7,44.21
379,15,87,5,84.0
380,7,92,8,67.78
381,14,82,4,69.54
382,10,61,7,65.77
383,5,80,8,51.32
384,14,86,6,80.75
385,5,85,4,52.9
386,13,89,9,81.08
387,9,65,7,61.87
388,13,85,8,76.42
389,5,85,6,53.43
390,6,64,8,50.17
391,14,67,8,67.62
392,9,82,9,67.76
393,14,69,5,74.86
394,6,98,5,60.55
395,14,64,5,76.26
396,11,96,8,74.91
397,11,96,9,74.41
398,14,80,5,71.49
399,11,64,7,62.32
400,8,97,4,63.71
401,9,92,4,62.17
402,4,83,6,54.17
403,5,65,8,47.23
404,13,95,9,81.2
405,4,88,8,52.56
406,11,92,5,68.03
407,4,88,4,51.45
408,15,65,8,71.43
409,14,71,4,71.56
410,11,93,8,79.99
411,13,70,6,69.12
412,10,81,9,73.14
413,13,63,9,72.91
414,5,95,9,59.82
415,10,78,6,64.44
416,13,69,6,65.33
417,5,97,9,63.94
418,14,85,5,80.08
419,13,65,6,64.54
420,9,68,9,62.02
421,15,93,4,78.35
422,9,61,6,54.17
423,8,71,5,52.48
424,7,74,5,60.02
425,6,64,6,51.03
426,12,93,4,70.97
427,14,81,8,83.14
428,6,71,9,59.45
429,13,70,9,72.1
430,14,75,7,78.77
431,13,78,9,78.92
432,7,79,7,55.94
433,7,83,9,73.91
434,11,78,7,65.94
435,12,93,7,84.21
436,13,68,6,69.25
437,4,90,6,50.45
438,12,67,6,67.07
439,5,70,6,44.44
440,10,65,5,61.5
441,11,82,4,62.94
442,9,75,7,65.25
443,5,83,5,60.5
444,15,81,5,80.43
445,6,62,6,53.33
446,6,90,7,57.06
447,13,60,4,68.17
448,6,95,9,64.13
449,13,93,7,82.33
450,8,67,4,55.62
451,7,86,9,65.1
452,5,91,8,54.05
453,12,61,9,67.44
454,6,78,7,55.41
455,4,99,6,55.15
456,14,65,8,79.85
457,9,64,8,54.64
458,12,95,4,71.18
459,10,90,4,58.59
460,8,61,6,46.22
461,5,82,5,50.5
462,13,81,5,67.61
463,4,82,8,49.77
464,14,89,9,89.27
465,11,100,5,73.84
466,11,62,6,62.06
467,7,62,5,53.32
468,8,92,7,63.21
469,12,90,6,80.22
470,8,82,4,59.32
471,14,81,6,80.22
472,10,88,7,72.6
473,9,71,7,60.64
474,12,77,4,64.12
475,15,87,4,67.28
476,6,94,6,64.51
477,9,66,4,54.43
478,11,98,9,81.66
479,10,70,9,63.41
480,15,82,8,85.1
481,10,77,9,79.25
482,5,100,7,58.28
483,9,92,9,67.06
484,6,98,9,55.77
485,11,62,5,68.23
486,9,83,7,68.45
487,13,62,8,74.49
488,9,83,7,69.19
489,5,96,5,51.34
490,14,77,5,74.06
491,5,61,9,52.69
492,12,67,6,72.15
493,8,88,5,64.58
494,11,72,4,63.33
495,6,64,7,54.45
496,5,80,9,62.09
497,9,64,8,53.27
498,6,100,5,57.09
499,9,92,5,67.24
500,6,75,7,56.65
501,4,83,8,49.07
502,12,68,8,69.03
503,5,64,6,42.1
504,11,93,7,77.99
505,10,96,4,70.26
506,5,88,7,58.38
507,14,93,6,86.3
508,12,100,8,86.03
509,6,68,7,44.65
510,5,93,5,54.26
511,8,70,5,53.13
512,9,93,6,72.74
513,5,76,5,45.95
514,6,100,6,57.0
515,13,94,4,73.17
516,13,69,5,69.56
517,14,99,9,90.36
518,13,62,4,63.9
519,5,62,9,51.51
520,7,96,7,60.79
521,13,100,4,71.78
522,8,79,7,61.67
523,7,85,6,53.25
524,6,88,7,60.46
525,11,89,5,68.8
526,15,80,9,86.38
527,9,85,5,63.52
528,5,80,5,45.7
529,11,67,6,62.81
530,4,78,7,50.79
531,13,86,5,83.09
532,9,96,9,70.5
533,9,72,5,54.49
534,11,79,7,70.05
535,4,65,7,35.77
536,7,97,6,62.34
537,4,63,6,35.83
538,14,90,6,80.47
539,12,60,4,55.09
540,15,83,7,85.88
541,9,62,7,64.18
542,9,95,6,69.32
543,5,84,8,51.39
544,13,99,4,78.65
545,6,66,7,43.87
546,12,83,5,79.41
547,7,98,8,65.07
548,4,68,9,50.77
549,9,90,8,63.94
550,12,68,6,69.46
551,13,80,5,68.57
552,8,97,6,68.95
553,12,92,8,73.06
554,11,61,6,63.43
555,9,67,7,54.62
556,15,100,4,79.42
557,13,90,6,84.24
558,13,96,5,76.26
559,15,63,8,73.06
560,15,99,7,87.8
561,6,75,4,44.72
562,7,61,7,50.66
563,9,86,5,61.19
564,12,99,7,80.2
565,15,63,9,81.16
566,9,90,8,71.28
567,10,80,5,59.72
568,12,82,9,77.94
569,15,76,8,71.8
570,8,95,6,65.9
571,7,79,6,55.59
572,11,80,7,64.42
573,9,95,9,71.9
574,14,94,7,84.92
575,10,82,5,64.27
576,15,65,6,78.69
577,11,76,9,69.44
578,12,77,8,74.05
579,15,77,5,82.69
580,7,75,4,57.27
581,14,93,5,78.75
582,10,81,9,69.8
583,11,66,9,69.15
584,12,70,7,69.7
585,14,90,7,77.77
586,8,80,6,54.95
587,14,63,4,67.42
588,15,62,5,70.72
589,10,71,4,64.32
590,11,71,9,70.53
591,8,62,4,50.37
592,9,78,7,69.29
593,14,94,8,74.96
594,12,89,6,74.66
595,7,67,6,56.02
596,8,71,4,58.48
597,15,81,6,74.17
598,6,99,9,62.22
599,10,87,8,69.2
600,5,71,5,51.37
601,11,80,5,71.23
602,11,77,6,68.07
603,8,97,9,67.21
604,9,75,4,57.32
605,14,67,7,73.37
606,12,79,9,79.62
607,5,100,6,56.1
608,6,90,5,58.39
609,11,98,6,69.84
610,11,94,9,80.05
611,7,75,9,60.84
612,5,93,7,49.28
613,12,83,4,71.19
614,12,92,5,72.73
615,13,94,5,81.12
616,11,67,9,76.15
617,7,97,7,68.22
618,4,89,5,52.99
619,12,86,7,70.19
620,14,79,9,79.4
621,4,85,6,53.38
622,13,64,4,60.55
623,10,82,9,82.91
624,5,90,4,57.0
625,8,86,5,61.51
626,15,86,6,75.03
627,10,88,7,65.6
628,14,94,5,84.17
629,14,82,4,76.96
630,12,68,9,76.97
631,7,60,4,53.02
632,15,94,7,85.1
633,12,84,5,71.36
634,8,72,9,66.19
635,5,62,9,45.14
636,4,75,5,49.51
637,5,66,8,56.08
638,15,63,5,74.53
639,15,62,7,71.48
640,4,68,8,50.46
641,8,74,9,58.44
642,14,80,5,73.28
643,8,69,9,57.5
644,8,63,8,57.75
645,13,71,9,73.99
646,4,82,9,49.71
647,14,84,8,79.66
648,6,79,7,59.77
649,6,94,7,60.66
650,15,69,7,81.05
651,4,95,7,60.2
652,6,84,5,53.47
653,8,73,6,52.84
654,9,65,8,54.5
655,15,72,4,73.91
656,13,62,4,71.95
657,7,97,9,65.87
658,7,81,6,55.44
659,4,73,5,47.54
660,11,75,9,71.33
661,13,73,7,78.17
662,8,84,7,60.52
663,12,82,6,71.85
664,11,89,4,73.28
665,15,90,6,86.31
666,10,62,8,61.63
667,7,69,4,50.67
668,13,86,6,85.52
669,6,72,6,53.05
670,7,91,8,69.05
671,14,81,6,77.89
672,15,91,7,80.18
673,6,82,5,57.11
674,6,94,9,67.38
675,4,93,4,50.93
676,14,63,4,67.77
677,10,68,9,67.63
678,4,73,8,56.33
679,11,83,4,62.32
680,13,90,9,77.9
681,11,61,4,56.07
682,4,93,9,56.77
683,8,94,6,71.88
684,14,87,5,78.59
685,5,66,8,52.35
686,12,76,6,72.5
687,8,85,4,56.05
688,13,75,9,80.32
689,7,79,9,62.57
690,14,62,4,67.35
691,10,84,7,67.41
692,4,70,4,42.76
693,11,87,9,76.51
694,5,93,4,47.85
695,7,73,9,63.46
696,4,64,9,45.95
697,8,94,8,66.23
698,9,61,5,53.89
699,13,69,9,79.56
700,8,70,8,52.1
701,7,96,7,61.69
702,10,68,9,62.43
703,15,65,8,78.39
704,5,87,5,48.92
705,5,81,8,56.49
706,10,80,4,53.11
707,14,77,7,74.06
708,10,87,5,66.82
709,14,97,9,81.78
710,8,75,9,68.11
711,5,65,6,51.07
712,14,69,9,83.6
713,10,80,6,66.32
714,8,88,6,63.05
715,8,66,5,58.32
716,12,95,8,81.31
717,10,66,4,63.1
718,13,98,6,82.51
719,10,60,6,54.04
720,15,95,5,86.58
721,13,93,5,75.84
722,8,79,6,57.86
723,11,69,4,64.1
724,8,90,4,63.19
725,9,76,5,59.65
726,13,72,7,68.9
727,5,68,6,52.41
728,13,84,6,75.77
729,11,81,7,73.77
730,13,68,6,63.54
731,9,98,9,74.16
732,10,80,6,69.31
733,15,100,7,94.34
734,9,84,6,63.0
735,10,83,4,66.33
736,12,71,9,72.29
737,12,61,9,64.3
738,11,78,9,74.2
739,5,86,9,52.63
740,7,76,9,60.92
741,6,87,7,69.34
742,11,97,7,80.88
743,12,92,9,78.75
744,9,94,8,70.94
745,14,65,4,70.4
746,9,70,9,58.89
747,13,62,8,77.99
748,10,81,7,67.18
749,5,60,4,42.74
750,12,95,8,83.88
751,15,96,5,79.54
752,14,97,9,88.13
753,12,69,6,72.89
754,8,86,4,59.13
755,5,69,6,47.03
756,7,93,7,67.08
757,9,90,4,57.48
758,9,64,6,60.74
759,4,67,4,45.67
760,14,70,9,74.01
761,7,93,5,56.6
762,10,89,5,66.05
763,10,100,5,72.78
764,10,61,9,70.19
765,13,72,7,70.18
766,15,73,5,74.23
767,8,64,8,65.11
768,6,83,6,60.54
769,7,89,4,56.68
770,12,100,6,85.55
771,13,84,8,77.06
772,9,89,8,70.13
773,6,79,8,52.46
774,9,67,5,54.59
775,8,67,5,53.46
776,10,86,8,72.38
777,6,96,7,57.01
778,12,71,8,74.05
779,6,91,6,60.31
780,11,99,4,74.18
781,9,60,7,63.51
782,12,92,9,85.26
783,11,86,9,68.81
784,11,91,5,70.93
785,5,96,4,54.6
786,4,77,5,44.09
787,12,78,5,70.49
788,11,95,8,71.23
789,5,96,4,53.24
790,9,94,4,69.37
791,15,88,8,86.23
792,15,75,6,82.63
793,4,88,6,47.32
794,11,67,5,69.4
795,7,97,9,63.48
796,14,87,5,82.88
797,13,68,5,72.11
798,13,82,8,71.33
799,8,98,8,74.26
800,8,78,8,72.49
801,8,92,9,69.36
802,10,63,6,58.92
803,14,68,9,80.12
804,15,80,5,76.24
805,14,85,7,83.75
806,14,86,7,84.91
807,11,64,9,70.39
808,10,92,9,67.52
809,8,83,7,66.19
810,4,65,9,48.1
811,11,100,9,76.77
812,12,85,5,64.23
813,10,73,7,64.53
814,9,95,8,78.16
815,6,96,7,63.12
816,4,62,4,32.57
817,14,89,4,82.51
818,11,89,4,74.06
819,10,72,9,75.07
820,8,70,6,52.94
821,5,83,6,58.04
822,14,70,4,74.13
823,10,100,6,70.99
824,10,65,9,59.37
825,5,60,5,42.39
826,7,93,9,66.31
827,11,60,4,57.33
828,10,68,7,56.95
829,5,74,7,57.83
830,5,80,6,55.86
831,8,68,7,59.28
832,6,69,4,41.88
833,12,96,4,71.56
834,9,73,9,64.07
835,15,69,7,74.98
836,7,65,4,47.22
837,6,67,8,53.43
838,10,80,5,60.81
839,7,77,9,65.58
840,13,98,6,82.36
841,15,61,9,80.73
842,13,92,5,74.59
843,15,85,6,77.25
844,7,91,7,56.84
845,5,75,7,51.01
846,4,83,6,48.93
847,6,84,8,54.58
848,6,90,4,57.2
849,4,97,4,54.08
850,4,85,8,53.94
851,8,100,9,66.76
852,15,85,4,78.47
853,14,94,8,82.0
854,8,65,8,56.75
855,7,69,8,54.83
856,14,64,6,77.11
857,15,87,9,89.43
858,7,65,7,53.75
859,5,89,8,55.03
860,15,71,4,72.13
861,4,68,9,54.77
862,9,93,8,70.43
863,15,76,5,72.69
864,8,67,4,58.3
865,9,87,6,62.21
866,13,100,4,76.93
867,11,89,8,71.5
868,13,70,6,75.02
869,6,76,4,55.32
870,5,74,9,51.01
871,12,60,4,63.0
872,4,90,6,51.71
873,10,69,5,68.37
874,12,86,5,68.59
875,9,75,7,66.23
876,5,96,6,55.03
877,5,92,9,62.15
878,12,62,7,66.25
879,5,89,6,55.21
880,5,95,7,54.59
881,4,83,5,46.79
882,15,99,5,90.97
883,11,83,8,86.47
884,7,94,5,57.84
885,6,60,7,55.24
886,14,60,6,71.95
887,4,84,9,54.63
888,12,75,7,69.75
889,11,63,5,61.78
890,7,93,7,61.28
891,15,83,7,84.06
892,5,92,5,53.83
893,14,85,4,74.5
894,14,68,5,71.32
895,8,76,6,62.77
896,15,80,6,78.21
897,11,77,5,68.8
898,13,66,5,69.92
899,5,70,7,46.51
900,12,82,5,71.56
901,11,79,7,69.81
902,6,79,9,61.01
903,15,98,4,84.12
904,6,65,9,62.49
905,7,82,7,53.71
906,8,71,4,54.19
907,10,88,8,71.36
908,11,66,5,60.07
909,5,60,4,48.51
910,6,72,7,43.94
911,9,100,9,78.29
912,5,61,4,45.98
913,7,88,5,65.0
914,9,67,4,60.54
915,11,63,5,65.99
916,15,85,7,81.04
917,4,84,9,51.55
918,6,77,6,55.56
919,11,69,4,58.32
920,14,78,7,74.46
921,10,95,7,75.01
922,6,86,5,56.31
923,14,93,5,74.7
924,4,84,9,49.63
925,9,90,8,69.92
926,13,92,6,74.4
927,10,77,5,68.92
928,4,77,4,46.18
929,11,93,6,74.37
930,6,66,5,33.35
931,14,75,6,68.78
932,15,63,5,71.91
933,13,84,6,86.95
934,6,71,5,45.71
935,13,80,9,76.04
936,4,82,8,44.42
937,13,69,8,81.32
938,11,94,6,70.57
939,6,91,4,57.56
940,7,61,8,56.46
941,11,60,6,65.13
942,6,81,9,58.28
943,6,80,4,57.07
944,6,67,8,54.63
945,9,64,6,56.74
946,13,66,6,64.55
947,8,80,5,65.32
948,10,100,7,72.52
949,14,80,5,74.33
950,13,82,5,68.55
951,14,97,5,76.1
952,8,68,5,59.8
953,15,60,9,82.28
954,13,62,5,66.24
955,13,80,8,78.34
956,11,69,6,70.58
957,15,64,5,71.69
958,14,65,9,80.08
959,14,100,9,90.99
960,8,73,5,53.96
961,15,64,6,75.12
962,4,63,7,47.51
963,11,86,5,72.59
964,10,82,8,66.51
965,10,66,7,64.57
966,14,74,5,68.8
967,11,64,4,60.02
968,5,64,6,50.57
969,6,84,5,53.93
970,5,81,8,50.3
971,13,90,9,91.28
972,6,98,7,63.55
973,6,63,4,41.42
974,10,95,9,84.45
975,15,94,6,82.41
976,5,63,7,45.56
977,13,95,7,82.55
978,10,65,6,64.61
979,14,100,8,84.41
980,7,70,9,59.32
981,8,65,7,59.31
982,10,90,7,67.64
983,14,76,4,70.51
984,9,84,6,61.32
985,6,88,4,53.83
986,7,77,8,64.16
987,4,69,9,49.56
988,9,94,7,67.43
989,13,74,8,79.27
990,12,86,8,77.88
991,14,90,8,86.55
992,5,85,9,54.92
993,4,92,8,61.62
994,14,99,5,77.2
995,5,88,5,55.2
996,7,72,5,52.94
997,4,87,4,52.57
998,14,69,8,76.59
999,8,80,9,66.18
1000,10,95,7,71.23
1001,12,80,6,62.74
1002,4,99,8,56.8
1003,12,86,4,68.45
1004,13,97,4,77.66
1005,5,96,4,55.59
1006,9,86,6,57.16
1007,10,91,8,71.44
1008,8,85,5,59.7
1009,13,98,9,83.91
1010,9,75,4,57.64
1011,15,90,6,83.65
1012,8,79,6,59.61
1013,11,66,5,70.29
1014,11,80,6,76.89
1015,15,86,8,83.23
1016,7,86,9,61.86
1017,11,93,6,74.78
1018,6,64,6,45.66
1019,15,92,7,90.24
1020,13,61,5,73.08
1021,7,72,4,52.21
1022,9,72,6,65.22
1023,9,89,8,61.67
1024,14,61,5,75.46
1025,9,91,8,59.91
1026,11,97,8,80.28
1027,9,82,5,63.92
1028,15,65,6,72.86
1029,4,84,4,50.11
1030,7,74,9,64.75
1031,7,73,6,52.72
1032,14,60,7,68.79
1033,6,71,8,55.99
1034,13,79,9,75.9
1035,15,77,7,86.79
1036,11,76,5,61.33
1037,11,79,9,67.46
1038,13,66,4,66.48
1039,12,83,8,72.2
1040,8,66,7,53.32
1041,5,81,6,47.25
1042,8,79,5,52.45
1043,6,93,5,63.05
1044,13,85,9,76.13
1045,9,68,9,68.73
1046,8,76,7,61.45
1047,10,84,9,77.82
1048,13,72,6,73.38
1049,15,74,9,75.85
1050,14,82,8,79.29
1051,8,70,9,63.7
1052,5,90,5,51.73
1053,15,76,9,85.73
1054,6,81,9,53.26
1055,5,74,6,51.55
1056,10,81,6,74.29
1057,8,97,6,63.55
1058,4,100,8,58.65
1059,13,99,4,74.51
1060,5,84,8,56.66
1061,8,86,4,60.77
1062,7,81,7,57.74
1063,13,89,5,73.03
1064,5,91,6,61.1
1065,14,71,6,74.24
1066,8,73,5,56.51
1067,13,70,7,74.43
1068,6,99,7,55.21
1069,14,87,7,76.69
1070,4,62,8,48.77
1071,7,83,4,60.74
1072,12,72,4,61.98
1073,14,60,9,75.41
1074,9,79,5,58.55
1075,5,84,8,54.15
1076,4,79,6,47.62
1077,11,93,8,71.48
1078,14,68,6,72.96
1079,11,82,5,72.34
1080,10,61,5,66.3
1081,7,68,5,51.97
1082,6,67,6,45.59
1083,15,62,7,78.3
1084,12,99,4,72.15
1085,13,63,9,79.72
1086,4,67,7,51.58
1087,11,84,4,62.66
1088,6,73,9,55.87
1089,14,100,4,78.34
1090,14,93,6,86.69
1091,13,98,9,89.21
1092,5,92,9,65.82
1093,13,67,6,71.93
1094,7,98,5,62.75
1095,8,93,5,60.22
1096,6,62,8,55.6
1097,11,73,9,74.47
1098,4,60,9,46.24
1099,5,67,8,49.99
1100,5,92,4,50.61
1101,15,66,6,73.08
1102,8,76,7,57.22
1103,4,66,5,49.0
1104,9,80,7,59.14
1105,15,67,4,78.1
1106,4,68,9,43.34
1107,14,70,6,71.52
1108,13,77,9,81.35
1109,5,83,6,54.56
1110,11,77,7,73.09
1111,15,90,7,80.26
1112,5,68,9,47.15
1113,15,63,5,80.4
1114,11,96,9,83.44
1115,11,71,8,66.36
1116,4,68,7,49.68
1117,11,67,7,65.05
1118,14,80,4,74.73
1119,15,93,9,83.83
1120,14,81,8,78.11
1121,12,99,4,68.42
1122,11,82,9,76.54
1123,14,84,5,79.61
1124,13,63,4,61.97
1125,14,70,8,81.75
1126,6,64,7,45.14
1127,9,75,6,62.96
1128,7,95,9,66.36
1129,10,85,5,69.81
1130,13,88,4,75.86
1131,11,88,6,74.65
1132,14,61,4,71.68
1133,10,86,4,64.73
1134,5,98,8,60.37
1135,14,79,8,74.51
1136,11,81,6,66.87
1137,4,74,7,45.53
1138,13,90,9,87.85
1139,14,83,9,80.87
1140,14,74,4,72.93
1141,9,82,9,71.54
1142,12,83,9,76.26
1143,5,62,5,37.68
1144,15,86,4,79.15
1145,8,99,5,68.13
1146,10,73,7,73.93
1147,7,81,4,54.96
1148,14,97,4,78.07
1149,11,89,9,71.99
