Week,TV_Ads,SocialMedia,Newspaper,Sales
129,3296,867,245,30533.13
130,1578,711,352,20093.27
131,2389,953,386,29904.16
132,2547,718,298,26802.46
133,3342,1190,248,37179.9
134,1503,1132,436,27758.65
135,3151,1151,375,35610.88
136,2873,801,293,28727.46
137,2383,671,442,26672.76
138,2142,1279,417,29550.86
139,1755,907,329,24305.45
140,2324,902,341,29991.02
141,1760,796,307,23172.81
142,3032,778,357,30934.01
143,2665,908,303,30666.58
144,2087,815,310,26196.82
145,3109,1193,355,35146.04
146,2405,1291,254,30620.27
147,2546,1084,403,33862.56
148,1847,1274,221,26581.36
149,2081,1127,369,28002.37
150,3176,840,372,32680.18
151,2135,830,406,27046.92
152,2001,1086,356,28331.99
153,3240,674,316,30750.12
154,1898,993,326,27572.97
155,2318,849,237,27675.46
156,3037,709,399,31659.78
157,2370,824,245,28693.12
158,2451,651,342,25147.87
159,2010,724,316,26103.36
160,2587,1172,352,33763.25
161,2149,1053,356,29963.72
162,2373,1161,314,28013.61
163,3337,762,390,35205.34
164,3039,853,415,31780.54
165,2805,883,396,31999.5
166,1989,881,312,24418.92
167,1658,892,260,23718.31
168,2606,682,235,29564.31
169,1808,836,298,23720.93
170,1631,1024,304,22736.39
171,2177,1155,319,28728.93
172,2360,998,431,30375.23
173,3076,1198,442,35195.31
174,3067,1189,297,32820.57
175,2476,606,441,25932.46
176,3247,1029,337,37602.4
177,3030,1159,404,34607.46
178,1949,879,311,25200.64
179,2494,629,299,26130.6
180,2328,769,415,29662.84
181,2457,730,359,24875.49
182,2712,1177,369,32727.82
183,1555,685,364,19138.67
184,1872,651,266,24637.04
185,2276,935,254,26941.99
186,3301,988,271,35780.43
187,3040,1031,264,34892.59
188,3034,1152,213,33371.68
189,3449,958,257,34535.59
190,2834,641,393,27778.43
191,1563,853,251,24043.75
192,1988,729,321,23124.47
193,2871,717,344,32195.51
194,2024,977,242,26376.7
195,2740,1221,446,34195.16
196,3177,767,446,32582.71
197,2137,710,348,27071.59
198,2887,984,301,32975.78
199,3428,803,219,32179.2
200,1997,704,378,23379.27
201,3082,908,417,32681.65
202,3130,1179,400,33766.59
203,1584,955,336,22868.95
204,2536,1263,287,33358.12
205,1525,1030,410,23033.33
206,2241,1250,428,31241.69
207,3197,1070,381,36270.15
208,2568,1266,269,33672.7
209,2761,1151,398,32022.82
210,2997,1206,268,35366.55
211,2160,851,412,28407.57
212,2423,849,392,28442.08
213,2451,1183,356,31067.77
214,2512,932,246,28550.13
215,2498,817,290,29240.45
216,3302,1210,379,36252.97
217,3302,882,342,38396.43
218,1675,847,384,24255.83
219,2332,1100,342,30356.02
220,2822,1102,314,31058.18
221,3123,617,223,30631.22
222,1998,913,369,28085.93
223,2691,977,321,30198.2
224,3027,1163,284,34638.58
225,2220,1064,269,28610.45
226,2977,797,280,32771.85
227,1744,1148,443,27196.35
228,1943,1095,270,26488.43
229,2983,1203,450,35778.68
230,1705,798,275,21461.04
231,1965,969,245,25718.66
232,1759,880,211,26531.49
233,3495,655,341,33202.93
234,2806,1102,226,36452.98
235,3287,612,346,32089.94
236,2197,788,447,28800.28
237,1605,858,440,24308.85
238,1633,1010,325,24340.24
239,1651,1190,361,26274.06
240,3161,1176,442,35767.07
241,2122,687,263,27117.99
242,2741,1210,402,35712.61
243,2766,831,398,29402.0
244,2406,904,420,29121.77
245,2705,1039,278,31483.78
246,3466,701,442,34426.41
247,3062,812,360,33211.9
248,1821,845,244,26660.74
249,2630,676,240,30023.43
250,2716,1081,274,32395.2
251,1566,837,273,22264.25
252,2429,672,375,25209.07
253,1978,870,401,26747.28
254,3146,802,308,31044.61
255,1735,1157,257,24594.57
256,3192,745,218,29908.34
257,1622,769,402,22211.83
258,2665,895,312,32961.0
259,1754,1079,376,25906.91
260,2057,1112,338,29971.98
261,2511,1048,220,28027.78
262,3004,930,354,31430.67
263,2012,626,223,24199.15
264,3262,1189,350,39264.9
265,3447,621,395,33164.5
266,1582,779,320,21612.97
267,2562,1267,313,33833.06
268,2698,1046,362,31758.68
269,3167,1103,448,37184.35
270,2182,928,371,28695.14
271,1714,764,284,21795.12
272,2856,1010,408,34035.59
273,3057,1163,209,33803.57
274,2162,718,448,26694.46
275,3082,1013,421,30197.18
276,2846,1155,318,33546.77
277,2346,655,248,24308.7
278,2520,1240,313,32276.22
279,3056,652,252,30906.57
280,2089,1048,425,29279.98
281,2930,1096,231,35828.87
282,3136,845,381,33875.69
283,1824,918,341,26970.95
284,1960,716,318,24728.8
285,3439,720,365,35258.55
286,2967,898,330,31139.64
287,2944,879,306,34425.28
288,1999,1067,341,24179.18
289,1796,992,248,27153.3
290,3300,739,421,32972.37
291,1642,882,397,24522.41
292,3413,1119,268,35686.78
293,3180,602,272,31020.95
294,2687,1275,325,31100.91
295,3272,752,314,32067.97
296,2630,1156,296,32160.5
297,2432,929,422,30606.13
298,2671,992,259,33448.2
299,3253,1020,211,34457.39
300,3370,990,298,37491.14
301,2859,1267,238,34298.87
302,2528,1204,284,32197.29
303,3281,702,423,33780.78
304,3364,1067,203,35676.16
305,2979,747,304,34166.92
306,1653,1080,400,22961.37
307,3484,871,286,34595.51
308,1664,936,418,23731.06
309,2881,1146,297,36063.6
310,3317,1099,423,36285.11
311,2608,636,358,30202.78
312,3386,894,258,36022.57
313,3029,692,311,33839.09
314,2941,702,313,30499.16
315,1840,906,431,27031.74
316,1614,900,291,24013.37
317,2267,1041,237,29062.75
318,2896,784,243,32551.04
319,1858,680,356,25192.45
320,1993,1109,433,26877.65
321,2694,746,259,28316.88
322,2022,1282,202,29559.12
323,3340,1076,430,36424.26
324,1651,1052,441,27559.14
325,2207,1201,276,29036.43
326,2012,1067,416,26909.14
327,2118,803,298,26706.12
328,2281,1185,291,29878.16
329,2677,902,379,29810.19
330,2848,1005,270,36566.75
331,1516,1179,421,24853.98
332,1600,1220,390,24333.35
333,2517,893,398,30536.48
334,2221,824,362,25361.11
335,1889,1235,264,27173.16
336,2850,1297,414,33289.91
337,1780,1243,224,29233.47
338,2132,1051,208,26887.49
339,2686,973,387,33867.38
340,2169,1025,244,30677.32
341,1911,735,401,20812.54
342,2587,1113,433,31303.8
343,2058,768,265,28586.85
344,3481,902,391,34382.12
345,3282,946,405,38230.94
346,1788,831,420,27287.36
347,2885,1290,450,33407.22
348,2641,974,223,32587.23
349,3119,1004,203,34065.7
350,2254,1288,391,32192.0
351,2876,868,349,30324.15
352,2260,710,372,28120.01
353,1978,1082,206,24742.34
354,2171,1224,256,27490.27
355,2826,664,362,31407.22
356,2118,1264,304,27134.69
357,1738,743,211,24249.5
358,2508,718,224,27460.65
359,1980,1150,234,26920.32
360,3444,1153,307,38722.45
361,2702,758,426,29509.84
362,2502,1230,304,32640.52
363,3423,886,208,34774.72
364,2410,841,418,27880.12
365,2242,701,375,24311.75
366,2820,967,215,34317.82
367,2315,882,248,31635.52
368,3187,1065,223,34413.6
369,2857,817,364,28843.07
370,1603,941,262,20879.12
371,1757,1178,252,29181.08
372,1924,1200,255,29203.46
373,3165,838,284,33727.84
374,2720,602,270,25839.73
375,3258,748,233,30433.17
376,1725,1276,421,27309.55
377,1552,734,203,20073.51
378,2705,931,204,32904.63
379,1856,871,213,25962.95
380,1732,665,321,23827.05
381,2418,970,331,28328.68
382,1953,1229,211,27513.09
383,2989,1274,333,35221.05
384,1563,662,322,23627.68
385,3235,1011,309,34595.05
386,3363,1054,218,34575.2
387,3341,682,282,32753.32
388,2063,1239,362,29343.63
389,2698,1161,382,31034.66
390,2586,901,316,34495.32
391,2535,1219,310,34329.1
392,3246,1270,366,39009.36
393,3297,1164,384,38221.28
394,3318,833,305,33153.21
395,2194,1064,302,28342.73
396,2374,920,370,29459.74
397,2022,983,444,29530.64
398,1637,693,412,25380.93
399,1674,695,310,24560.16
400,3162,733,342,34025.23
401,1622,1200,444,25517.04
402,1750,1020,290,25131.73
403,3289,1281,440,38252.09
404,2976,652,447,28056.93
405,2089,1214,279,28223.75
406,1935,758,368,26515.73
407,2487,829,416,31506.65
408,2252,717,395,28564.25
409,2070,1187,257,30004.45
410,3495,1236,357,36247.41
411,2882,1258,342,38512.78
412,3198,873,207,34153.96
413,1869,879,379,25794.81
414,2218,606,246,21774.84
415,3281,746,344,33196.85
416,3017,1248,448,35757.04
417,1562,693,391,20617.08
418,2429,949,240,29036.9
419,2257,919,384,26786.9
420,2721,686,426,32822.24
421,1607,759,240,22426.66
422,1667,878,313,23526.32
423,2855,1034,324,31827.48
424,1941,1124,229,26576.52
425,2206,1040,228,28105.19
426,2496,1139,370,33921.37
427,2131,646,256,23337.24
428,1515,809,277,23580.76
429,3436,816,396,36002.62
430,2171,722,201,26529.97
431,2518,1040,244,31924.68
432,1971,1112,343,29335.27
433,3206,1284,406,36707.83
434,3019,643,311,32057.29
435,1538,1070,435,26266.94
436,2379,1187,303,31747.09
437,2953,1255,306,35058.46
438,3478,932,243,37484.43
439,3141,1232,317,38162.27
440,1680,1047,416,22863.27
441,1716,849,311,22529.89
442,2310,917,390,27775.08
443,2195,826,285,27032.99
444,2796,716,335,29495.73
445,2544,798,431,29644.56
446,3462,1260,408,37723.66
447,1802,841,226,24912.12
448,2733,756,394,30976.33
449,3054,1271,219,37093.42
450,2511,1075,393,33671.48
451,2654,1193,314,31706.51
452,2816,1250,359,31851.34
453,2161,1242,280,30427.76
454,2405,1246,277,32166.81
455,3130,881,351,35332.13
456,2135,1072,315,29261.35
457,1577,658,294,21851.84
458,3269,692,357,32507.47
459,2716,1119,298,30898.7
460,3121,642,315,31970.11
461,3361,1185,366,38471.71
462,2526,754,445,30873.79
463,1626,1061,226,26038.37
464,2962,686,329,28246.38
465,2823,776,210,30386.52
466,2399,1136,333,32550.56
467,2748,762,293,29165.47
468,2337,946,373,29980.58
469,2724,653,402,28385.39
470,2175,696,342,24912.68
471,2889,995,272,32743.96
472,3475,1217,423,41807.86
473,1807,941,220,24424.78
474,2216,917,447,27897.6
475,2843,1278,300,36513.41
476,1673,917,343,26164.24
477,2271,1258,402,30952.01
478,2939,1139,223,34825.56
479,2823,1286,308,34562.17
480,2132,784,443,26644.76
481,1938,949,442,26848.26
482,1781,758,219,22496.55
483,2105,703,329,25839.48
484,3309,1139,209,33672.61
485,2855,944,424,32694.02
486,2271,757,241,25925.12
487,1870,1239,407,30539.26
488,1589,1020,293,23224.22
489,2885,843,448,30900.15
490,3033,1059,259,34623.15
491,2593,844,279,32206.57
492,3351,798,294,33672.94
493,2889,1184,312,33269.31
494,2282,1114,335,30297.31
495,2357,765,409,28496.58
496,3287,856,213,35987.32
497,2813,1092,423,31134.77
498,2956,1128,417,37289.53
499,1755,891,221,24497.36
500,3354,1125,237,35567.5
501,3201,1047,223,36086.46
502,2423,957,438,29603.54
503,1554,1024,213,23002.92
504,2290,683,295,27279.36
505,1959,628,281,26355.24
506,2831,943,402,31172.79
507,1799,740,209,22761.17
508,2925,742,394,34065.53
509,2944,1080,314,31524.11
510,1538,862,255,20694.1
511,3210,753,340,35005.66
512,2366,713,398,26705.5
513,2090,843,277,27154.51
514,2808,1237,317,35145.3
515,1628,713,414,24385.05
516,1533,1247,331,25081.25
517,2677,847,383,31518.03
518,2759,961,261,32869.25
519,2668,1026,247,31195.69
520,3496,969,217,35797.52
521,3452,1138,339,33349.88
522,2634,620,299,27925.92
523,3288,1081,211,33110.13
524,2019,616,291,20896.4
525,3114,669,288,31741.9
526,1712,1195,388,29321.04
527,3049,940,234,35064.33
528,3166,1258,244,37169.37
529,3200,1075,378,34843.84
530,1776,664,383,23304.08
531,3089,1068,209,34362.97
532,1908,642,280,23966.75
533,3411,917,331,33504.45
534,2469,859,209,30385.74
535,3042,1262,248,35218.48
536,1597,1271,284,29592.66
537,2059,727,404,23470.87
538,3022,1050,429,36904.55
539,3458,995,286,38255.17
540,2518,976,436,30433.13
541,3132,1131,268,36226.57
542,1661,1040,354,23128.3
543,3184,784,339,32986.18
544,2171,1276,275,31098.92
545,2127,1056,354,28399.34
546,2409,959,314,28608.61
547,1586,961,357,25497.64
548,3120,658,219,31340.54
549,2874,1252,303,33125.51
550,2891,763,443,33462.33
551,1563,746,417,20528.99
552,1571,729,217,20225.78
553,1983,1260,293,26755.62
554,1566,1219,239,28707.9
555,2890,1060,442,32727.58
556,1657,1187,235,27410.28
557,2584,975,301,30246.87
558,3467,716,206,35159.9
559,3006,790,327,28732.2
560,1741,868,398,24298.6
561,2033,1056,254,28890.93
562,3376,1102,251,36730.41
563,1751,738,418,24554.25
564,2960,1055,222,33993.57
565,3159,1298,447,38306.25
566,2211,666,340,24800.41
567,2610,897,428,30376.05
568,2953,1253,244,36060.8
569,3125,970,330,34990.75
570,3122,742,260,36478.38
571,3118,1105,206,33712.01
572,2457,1164,233,32736.86
573,2753,688,216,27047.69
574,2972,1090,334,39813.7
575,2341,1019,410,29151.43
576,2149,1257,218,29599.72
577,2421,1077,374,29945.8
578,3197,1164,363,36365.02
579,2703,786,396,31803.51
580,3365,656,412,33192.93
581,1754,1130,239,26110.46
582,3414,830,288,35730.44
583,3440,1131,429,37835.02
584,1902,1250,444,29583.52
585,2628,881,232,28561.26
586,1691,1114,364,24790.15
587,1845,1206,441,27445.07
588,2778,1219,286,33493.29
589,3225,1177,210,36428.77
590,1593,1256,397,26563.97
591,2681,871,366,31179.76
592,2765,1254,207,35792.59
593,2519,1242,339,31681.72
594,2489,850,406,33049.02
595,3153,1015,276,32478.68
596,1823,1050,306,27067.46
597,2491,1075,252,30339.2
598,3264,926,387,35713.73
599,3262,953,449,33369.41
600,2554,1175,227,33447.2
601,2153,847,319,28105.79
602,1788,699,212,24151.9
603,2094,993,421,27210.43
604,3272,763,408,33037.97
605,2170,1191,384,29084.2
606,2520,1127,319,33960.96
607,2521,915,327,33480.32
608,2535,1068,447,32145.42
609,1993,820,349,25469.38
610,2513,1211,425,32967.8
611,3226,1269,372,35699.01
612,3235,710,310,33152.41
613,1774,870,386,23848.05
614,1592,1010,213,25428.68
615,2667,1175,249,31938.32
616,2291,1116,315,30960.37
617,3065,1163,271,36254.36
618,2751,721,232,27647.33
619,3496,699,300,31301.25
620,2642,974,393,34533.29
621,1795,803,354,22586.09
622,1592,639,235,21215.11
623,2961,941,405,31583.05
624,2741,1127,235,33058.62
625,2171,1227,281,32438.87
626,3014,906,351,37016.48
627,2188,1119,412,27937.93
628,2652,906,321,30556.14
629,3170,617,294,31222.68
630,2353,1197,278,31602.34
631,3131,1244,206,35224.25
632,2842,1192,347,33649.07
633,1966,652,349,22392.77
634,2976,1234,398,35920.63
635,3222,989,237,35273.68
636,2672,712,248,27969.41
637,1538,1051,280,23132.24
638,1917,1020,328,27597.54
639,3087,1226,435,33599.92
640,2989,663,380,31560.14
641,1782,1131,253,21710.56
642,2479,1138,296,29378.55
643,2142,777,317,27446.26
644,2225,1292,397,30567.34
645,3276,1297,364,38446.58
646,2491,796,445,27988.95
647,2004,885,342,25270.89
648,2109,895,380,30634.8
649,1924,1100,281,25489.18
650,3413,880,273,35490.22
651,1749,1187,373,24185.14
652,2308,953,444,28337.95
653,3083,749,274,35640.66
654,1661,954,436,25947.91
655,2405,1271,265,31858.79
656,3195,1151,269,34998.82
657,3410,1175,378,37874.09
658,3017,1200,261,35974.41
659,1996,651,371,25350.3
660,1976,653,225,23294.12
661,2346,938,383,26893.82
662,1781,605,446,23311.4
663,2627,761,304,27485.96
664,2474,1088,366,28602.43
665,1908,894,282,25491.39
666,3074,691,366,32292.75
667,2675,837,336,30084.86
668,1576,779,306,19664.25
669,3306,780,439,38743.31
670,2313,1107,247,27391.67
671,3418,896,424,37106.59
672,2734,709,437,30234.04
673,2186,891,316,29368.37
674,2511,737,417,28529.08
675,2532,1079,269,31397.58
676,1832,1069,365,27491.82
677,2026,790,203,25053.48
678,2662,1290,393,31455.49
679,1895,779,356,26787.45
680,3193,1037,331,32770.87
681,2171,688,302,25223.46
682,1787,1088,282,25573.24
683,3416,854,201,34755.46
684,3043,873,444,34411.31
685,2175,909,349,27634.62
686,2838,968,377,32329.09
687,1983,663,370,25418.94
688,2330,1114,436,31499.96
689,3333,918,376,37828.99
690,2104,976,357,30032.21
691,1952,824,445,26402.15
692,3031,1220,295,36263.68
693,2351,1162,433,29320.57
694,2860,823,395,31902.64
695,2006,1296,393,27709.05
696,2576,1057,335,29955.13
697,2941,970,219,33384.51
698,3197,1160,431,36264.99
699,2535,807,346,28291.83
700,3249,1132,313,36165.85
701,1738,1296,252,27346.79
702,3340,1122,314,35183.47
703,3156,656,316,32922.88
704,2654,659,343,29864.06
705,2446,1288,406,32606.72
706,2021,603,390,24584.03
707,1946,1192,218,29422.45
708,1630,1154,215,26111.35
709,3414,670,439,32830.83
710,1868,738,396,24636.64
711,2813,1261,446,30869.82
712,2283,1059,422,32093.86
713,3378,986,296,39348.2
714,3291,1152,234,38433.03
715,2838,956,230,32808.19
716,2583,730,386,30649.35
717,1956,603,393,25126.78
718,2879,1157,308,34335.47
719,2589,988,410,31413.49
720,1817,882,248,26464.86
721,3419,715,208,34302.19
722,3068,616,261,29346.46
723,1922,668,225,22312.8
724,2876,649,262,28920.03
725,3016,645,302,29096.25
726,3044,657,235,31601.12
727,2531,896,259,30578.7
728,2153,1191,353,27627.3
729,3082,1288,409,36316.37
730,1793,1276,333,29298.1
731,1952,1023,276,26631.06
732,2711,779,360,32014.82
733,2890,1037,342,29333.05
734,3428,1258,371,38858.22
735,2280,1137,281,29505.9
736,2114,985,247,26133.73
737,3045,1150,321,35278.4
738,3256,747,406,34618.2
739,2448,659,343,26050.63
740,2585,737,299,29584.85
741,1997,861,252,25527.71
742,2421,979,223,29988.64
743,2596,795,213,28793.49
744,2734,640,423,31560.06
745,1649,792,405,23645.2
746,2644,822,322,27523.18
747,1927,940,277,26346.34
748,3419,794,446,35046.55
749,3018,720,391,33445.79
750,1996,1218,380,29134.99
751,1918,1006,434,27150.12
752,2079,989,319,28930.66
753,2592,1264,291,32606.62
754,3307,1109,319,37900.11
755,1701,1080,394,27910.94
756,2259,920,305,25362.35
757,1593,1176,421,26454.04
758,2034,1166,439,29971.91
759,2696,1193,384,32747.49
760,2175,835,297,27332.23
761,2666,851,327,26905.84
762,2191,863,395,26417.72
763,3182,1100,447,35681.76
764,2443,772,387,25982.83
765,3128,960,243,35160.18
766,1876,1155,364,29246.66
767,3460,660,334,36777.05
768,3435,1284,212,39126.24
769,3065,606,305,32212.32
770,1639,754,202,24072.38
771,1947,1117,316,26340.08
772,2865,1231,433,36546.69
773,2489,1275,324,34477.88
774,2342,612,204,26056.27
775,2584,881,337,30341.06
776,3165,1290,310,37072.16
777,3151,783,227,34197.39
778,1993,796,358,24690.94
779,2578,858,408,28428.24
780,1661,982,445,27344.0
781,2331,1070,344,30090.83
782,2114,1300,411,32991.74
783,3236,682,367,34934.34
784,1564,695,303,21690.67
785,2276,986,341,26825.81
786,2939,775,221,31464.22
787,2523,1044,365,31507.08
788,3257,697,429,31323.12
789,2581,643,258,28573.71
790,3317,1180,321,40162.63
791,2055,647,436,28067.43
792,3341,1156,344,38801.92
793,2847,633,245,30630.71
794,3469,812,350,34727.77
795,1795,1007,437,27070.42
796,1992,1180,413,29319.44
797,3239,998,373,36465.42
798,3047,743,402,31329.1
799,2911,680,328,30474.85
800,1700,1047,259,24056.85
801,3217,677,287,30717.87
802,2719,1006,448,31041.47
803,3084,934,207,31600.22
804,2422,1102,258,28620.31
805,2228,1166,440,29725.44
806,2699,1276,297,34605.51
807,1675,1233,275,27555.5
808,1668,874,239,21486.51
809,2278,1249,239,30704.68
810,1718,693,201,21166.44
811,3431,915,313,35017.1
812,1771,689,247,23843.87
813,2382,1059,342,28780.91
814,1553,691,290,21141.74
815,2635,695,352,27833.41
816,2288,612,274,24972.2
817,2347,997,399,32448.45
818,3353,848,346,36458.09
819,2567,773,375,28586.16
820,2116,874,326,27490.07
821,1798,664,242,21443.88
822,2491,678,292,28282.11
823,2015,852,384,24850.85
824,1900,1068,227,25387.24
825,1777,911,201,25922.7
826,2770,989,405,31944.28
827,3265,937,312,33473.26
828,3260,1266,449,40339.09
829,2717,739,276,28012.74
830,1911,1090,280,30513.66
831,1863,1007,447,25723.92
832,2796,1102,447,35813.26
833,2679,848,283,28278.32
834,2304,973,229,30604.68
835,3408,1177,251,36004.99
836,2896,1163,206,32967.5
837,3451,1072,441,37172.25
838,2096,670,409,23829.27
839,3236,1018,372,33409.99
840,1995,858,368,26153.2
841,1815,1033,402,25341.75
842,2724,1090,349,33869.48
843,2320,1147,329,33190.09
844,2356,1156,209,29041.01
845,3119,968,379,35860.26
846,2806,687,227,28439.97
847,3074,854,368,32662.52
848,2754,645,344,28478.48
849,2821,1293,365,33045.65
850,3477,1040,227,38310.86
851,1521,700,266,21886.26
852,2642,1194,376,35577.39
853,2678,826,314,28977.28
854,2891,1202,376,36002.91
855,2524,754,288,30203.84
856,2105,1025,435,28411.14
857,3469,687,229,35079.01
858,2213,919,287,25692.21
859,2432,811,333,26794.56
860,2397,1063,281,30350.84
861,1637,907,211,24005.86
862,3239,951,365,34293.86
863,1723,1293,404,30263.76
864,1999,1128,244,31700.79
865,2630,763,284,25712.83
866,1974,1014,361,25875.42
867,1877,790,363,23975.88
868,3010,1228,426,34698.12
869,1904,1060,351,27028.08
870,1939,810,271,25146.28
871,3040,664,347,33721.21
872,1882,974,283,27911.76
873,1903,1068,229,26605.24
874,2580,1254,280,35900.62
875,2722,997,356,31395.28
876,2220,1068,358,29759.18
877,1853,1289,380,29843.03
878,2708,686,372,26188.5
879,1774,920,230,24841.67
880,2264,744,330,27585.99
881,2295,1028,352,30394.2
882,1880,1098,362,28470.26
883,2600,1260,438,35498.38
884,2502,895,235,29329.3
885,1883,922,415,25611.86
886,2235,609,324,25676.59
887,1779,799,408,22943.65
888,2837,1106,304,34735.54
889,2902,1103,306,33453.52
890,1842,684,344,22074.01
891,1563,825,274,23821.95
892,2091,772,399,26377.18
893,2436,1179,390,31958.49
894,2546,715,346,26747.99
895,1733,874,398,20234.41
896,2610,642,394,27220.54
897,2972,1051,339,34297.06
898,3007,1269,392,37714.2
899,2006,904,423,28402.62
900,2213,689,312,25994.42
901,3272,720,398,33796.15
902,3010,1202,376,34634.28
903,2218,1224,361,28705.0
904,3107,811,408,34015.89
905,1923,660,345,23259.67
906,2603,772,282,30106.31
907,2941,899,274,29015.97
908,2553,1295,408,31844.9
909,1695,738,446,23452.61
910,1621,883,421,22537.36
911,2843,729,379,31389.84
912,2956,929,412,32261.28
913,2006,1292,300,27598.9
914,2050,1242,306,29588.31
915,2268,1062,219,27066.18
916,1690,1012,331,23009.63
917,3035,884,377,34470.98
918,3446,1099,283,36727.47
919,2691,602,422,29104.21
920,2996,1069,362,31953.24
921,2860,966,417,34513.75
922,1946,1039,411,28161.62
923,1933,1106,268,26923.02
924,2620,1191,233,33617.4
925,2659,1096,401,31251.48
926,1599,647,225,23285.86
927,2782,1070,204,34593.77
928,2403,1067,200,32073.19
929,3462,1038,251,40078.78
930,3306,1265,277,37631.77
931,1825,880,223,24127.25
932,2261,1280,431,30588.37
933,2828,769,213,29329.44
934,2932,839,309,32672.19
935,2842,693,380,31192.56
936,1659,735,351,23483.8
937,1963,1131,374,28013.49
938,2203,723,420,26614.68
939,2364,735,322,28721.88
940,2996,704,226,31582.05
941,2141,976,425,27788.45
942,3165,736,364,34139.52
943,2886,746,217,30356.78
944,2831,768,312,30629.02
945,2219,818,360,27210.44
946,2761,1053,420,29512.87
947,1944,688,429,26630.99
948,2707,993,289,33113.21
949,3472,1039,280,37244.71
950,2820,686,263,28676.04
951,2633,1215,353,32950.56
952,3427,627,417,32501.22
953,3234,1274,424,37204.57
954,2543,793,391,30961.22
955,2302,902,365,31508.86
956,3455,845,326,36474.41
957,2290,715,261,24543.27
958,2581,612,292,27705.38
959,3412,924,233,33305.02
960,2361,974,339,31255.0
961,2898,776,395,27062.82
962,1649,617,350,22666.19
963,1638,614,267,22234.22
964,3442,1007,329,39965.12
965,2086,1243,382,28381.49
966,2937,1011,221,33055.56
