House,Size,Bedrooms,Distance,Price
84,200,4,2,355388.37
85,147,6,12,223709.12
86,95,3,14,87606.42
87,,,6,247896.75
88,103,3,12,122548.07
89,148,6,2,302365.94
90,205,2,9,244721.81
91,206,4,12,287078.77
92,183,6,15,230318.6
93,,6,14,218196.98
94,204,2,2,308953.42
95,184,2,5,293903.94
96,210,4,8,296388.23
97,ERROR,???,NaN,INVALID
98,156,6,11,250165.29
99,219,5,9,343422.46
100,161,5,13,201801.51
101,118,5,2,$277889.7
102,83,3,Unknown,158320.47
103,181,2,15,166553.12
104,,2,11,273386.96
105,191,2,14,$176884.91
106,155,4,7,217319.3
107,124,2,11,155158.52
108,145,2,14,$126870.47
109,156,5,13,208182.11
110,155,4,2,308979.85
111,92,6,13,113922.08
112,ERROR,???,NaN,INVALID
113,173,3,3,289848.52
114,208,4,15,232424.52
115,166,2,9,215238.81
116,173,2,14,173691.05
117,147,6,Unknown,268050.59
118,136,2,12,115211.12
119,89,4,9,152980.4
120,218,5,11,$305914.99
121,184,4,2,310952.17
122,171,2,8,211431.2
123,134,6,2,297635.55
124,135,3,7,205222.17
125,113,6,6,229772.59
126,,3,6,140894.72
127,172,,11,272150.64
128,197,2,2,311638.52
129,193,2,3,283879.09
130,215,4,9,303642.45
131,135,5,9,226826.12
132,145,4,Unknown,$241975.25
133,175,3,10,259939.96
134,188,2,6,271428.88
135,137,2,7,196498.73
136,86,6,12,135343.02
137,166,,2,296684.7
138,215,3,8,296578.37
139,101,2,4,180632.42
140,149,3,14,179182.74
141,,4,2,358772.14
142,,4,3,313343.88
143,208,6,15,262692.39
144,ERROR,???,NaN,INVALID
145,163,3,14,194360.23
146,182,6,3,329016.71
147,210,2,10,219450.28
148,117,4,5,$208361.99
149,206,5,14,242018.59
150,,3,9,207303.12
151,209,2,6,278766.14
152,209,5,9,$304788.77
153,,4,11,167121.94
154,209,3,2,331108.47
155,175,4,8,$244545.75
156,178,4,6,282993.93
157,116,4,6,223950.63
158,164,3,12,191117.86
159,188,6,7,322408.91
160,119,2,6,176273.66
161,89,4,14,89882.98
162,192,2,8,232735.22
163,194,3,10,250448.07
164,192,5,14,282249.82
165,115,4,2,212709.07
166,121,4,9,159526.36
167,195,4,Unknown,315030.31
168,105,,14,131681.6
169,200,5,11,283091.2
170,108,,5,199801.05
171,108,5,11,$145933.42
172,186,3,12,217436.59
173,209,6,2,$361743.1
174,168,3,13,203339.06
175,170,6,7,291615.98
176,96,,2,$215624.41
177,211,5,15,247151.36
178,164,4,3,279737.8
179,166,3,Unknown,217089.99
180,126,,6,229786.85
181,189,3,13,202473.28
182,94,2,12,102437.01
183,,6,12,183980.38
184,119,5,7,207884.71
185,151,3,3,261697.38
186,134,6,6,254360.16
187,124,5,3,264376.97
188,156,3,13,141726.83
189,131,3,5,213068.84
190,102,2,6,151048.71
191,98,3,7,146332.17
192,126,3,8,169410.26
193,121,4,Unknown,156790.11
194,150,3,12,214982.36
195,119,3,Unknown,118864.23
196,147,3,Unknown,136613.84
197,157,,Unknown,281081.02
198,132,4,11,158933.26
199,182,3,14,188164.74
200,154,5,15,203798.61
201,160,3,14,$201864.11
202,197,,5,333346.97
203,ERROR,???,NaN,INVALID
204,93,6,Unknown,171967.4
205,,6,12,219167.11
206,116,3,Unknown,141142.2
207,201,6,9,328015.99
208,156,6,7,296738.78
209,ERROR,???,NaN,INVALID
210,201,4,12,217983.94
211,123,6,12,186937.26
212,128,2,9,136130.09
213,200,2,13,222612.51
214,216,4,10,296999.88
215,203,3,5,296310.71
216,205,4,9,296421.72
217,219,5,8,339338.39
218,193,4,13,203686.05
219,,2,11,129365.41
220,164,5,3,286724.4
221,201,5,12,$282273.17
222,216,2,4,$343929.71
223,206,,13,271468.59
224,152,5,12,203331.38
225,129,2,7,187486.88
226,129,3,11,175974.56
227,,3,4,152998.66
228,82,4,12,117363.2
229,208,4,13,280312.93
230,175,5,13,253463.13
231,143,6,15,195861.33
232,209,3,11,239986.54
233,205,2,10,241219.48
234,158,,8,$207304.73
235,96,,2,244400.46
236,187,4,8,$268133.36
237,218,3,12,265415.57
238,85,4,9,134200.27
239,168,,6,260136.59
240,,3,5,184144.42
241,142,2,8,169070.49
242,161,6,11,252192.22
243,213,3,8,284940.11
244,206,2,7,276254.44
245,118,4,8,195122.78
246,94,6,8,205853.55
247,ERROR,???,NaN,INVALID
248,98,3,14,114057.28
249,165,4,2,294314.56
250,132,5,5,252859.41
251,146,4,10,217649.6
252,160,5,2,289716.26
253,186,4,4,304797.27
254,205,5,9,309231.55
255,218,2,10,289996.46
256,139,2,13,$148927.37
257,ERROR,???,NaN,INVALID
258,190,3,3,299789.13
259,170,4,14,190441.77
260,100,2,3,184746.9
261,ERROR,???,NaN,INVALID
262,134,6,9,239400.2
263,88,3,15,65511.13
264,121,6,5,280380.39
265,,2,Unknown,137605.53
266,181,4,2,297385.54
267,,5,4,294771.86
268,119,5,13,143863.48
269,,5,7,259096.22
270,,4,10,145451.4
271,179,2,13,217278.48
272,157,4,9,207449.54
273,172,4,5,$273208.15
274,177,4,9,233138.3
275,162,6,13,234359.37
276,142,4,8,228811.23
277,219,3,12,262187.09
278,97,5,12,141917.41
279,176,2,9,236305.67
280,172,,11,257399.38
281,91,6,12,$146531.61
282,210,6,10,298394.21
283,208,3,Unknown,305822.36
284,169,4,7,256551.39
285,195,4,3,311506.67
286,142,6,4,304392.94
287,ERROR,???,NaN,INVALID
288,134,3,Unknown,195229.2
289,127,4,7,208808.74
290,180,6,3,338974.41
291,156,6,11,246130.64
292,187,6,4,336484.21
293,ERROR,???,NaN,INVALID
294,114,3,15,112336.39
295,193,5,4,327860.42
296,197,6,13,274264.35
297,219,4,10,294726.71
298,143,4,15,157674.03
299,110,3,5,194434.71
300,,3,14,122861.63
301,154,4,Unknown,203576.73
302,95,4,15,133462.38
303,143,5,Unknown,237902.62
304,183,6,13,272134.35
305,80,2,13,92966.63
306,134,5,6,234093.25
307,ERROR,???,NaN,INVALID
308,189,3,13,233176.16
309,103,,6,204862.32
310,,2,Unknown,213774.29
311,193,2,2,$286331.77
312,106,2,7,125150.26
313,116,2,10,120213.5
314,193,3,3,294624.72
315,,4,14,232510.25
316,86,4,5,182499.87
317,141,5,8,243603.99
318,113,5,15,152083.63
319,,,11,120260.02
320,208,,8,315415.81
321,159,2,10,226485.08
322,96,4,13,101851.14
323,109,5,11,157797.14
324,121,5,7,206047.78
325,148,2,14,156556.77
326,207,5,10,285428.65
327,106,,12,169361.44
328,178,3,4,265955.64
329,187,3,7,263764.2
330,93,3,5,$199972.33
331,152,4,7,250588.93
332,174,6,9,285358.9
333,118,2,Unknown,176122.7
334,176,4,3,300003.84
335,116,4,3,235673.19
336,104,6,4,$235764.42
337,113,3,6,181699.63
338,99,3,4,194817.16
339,184,2,10,$204613.59
340,157,6,2,332400.34
341,181,,2,336056.25
342,143,2,9,$169152.96
343,136,3,5,224663.68
344,85,2,5,129048.57
345,164,2,2,265321.18
346,ERROR,???,NaN,INVALID
347,,4,9,192253.61
348,214,3,Unknown,265765.52
349,202,6,14,237429.89
350,151,2,14,152383.6
351,105,3,12,126029.45
352,179,4,15,223299.92
353,171,6,2,325173.74
354,ERROR,???,NaN,INVALID
355,202,2,7,275152.35
356,85,3,11,104036.58
357,98,4,13,137661.47
358,204,4,4,317428.3
359,124,,6,224542.11
360,88,3,11,100133.62
361,207,3,7,$287076.46
362,165,5,Unknown,295945.28
363,80,2,8,97516.23
364,ERROR,???,NaN,INVALID
365,85,4,6,169620.57
366,103,4,11,143838.44
367,191,3,2,316384.9
368,,4,5,258446.08
369,80,5,Unknown,190896.05
370,100,5,15,146234.12
371,219,,4,345666.87
372,95,,14,107652.97
373,138,6,2,304563.26
374,201,4,Unknown,303880.68
375,117,2,14,$73658.24
376,191,3,15,215720.48
377,97,2,8,$114569.53
378,213,5,3,350007.45
379,107,6,14,166317.54
380,ERROR,???,NaN,INVALID
381,164,,2,274897.94
382,205,2,15,172228.92
383,186,6,12,280913.21
384,94,6,14,149416.72
385,,,Unknown,166508.18
386,174,5,10,246707.93
387,194,3,15,189050.51
388,87,5,2,216420.09
389,132,4,Unknown,169855.87
390,82,3,6,147025.63
391,176,4,9,248988.78
392,175,6,12,270818.32
393,150,4,15,166315.29
394,94,6,8,210405.1
395,146,5,8,233128.54
396,216,5,12,290797.52
397,155,2,9,202052.85
398,102,3,7,169756.43
399,155,5,15,194679.41
400,110,,10,180359.92
401,184,,9,307372.81
402,94,2,9,144200.06
403,102,3,Unknown,114868.58
404,83,4,14,104028.49
405,168,,Unknown,293777.45
406,213,6,10,326273.76
407,171,3,4,299994.86
408,209,3,Unknown,311044.45
409,216,6,Unknown,379292.58
410,111,6,6,222582.96
411,105,6,6,201298.2
412,107,5,5,197154.12
413,184,4,4,$315832.62
414,108,6,12,$177905.5
415,145,,9,$209536.11
416,160,5,13,$212105.74
417,123,4,7,231058.58
418,182,5,6,272409.22
419,122,2,4,192669.59
420,192,3,Unknown,232480.44
421,,5,9,200313.59
422,137,4,Unknown,204460.17
423,168,,4,304776.9
424,206,3,3,301946.33
425,220,5,Unknown,327487.64
426,207,,3,298853.67
427,157,6,Unknown,254393.71
428,201,,13,$268763.59
429,154,6,10,239806.05
430,145,6,5,279064.08
431,166,2,14,137747.38
432,,3,9,291350.79
433,210,3,13,221608.72
434,178,5,11,239091.82
435,195,3,4,277134.54
436,135,3,5,229131.47
437,125,6,10,205463.51
438,186,6,Unknown,302768.3
439,93,2,5,$148797.41
440,132,6,2,308571.81
441,137,6,8,242445.62
442,,6,2,342192.95
443,137,4,14,141525.42
444,99,3,Unknown,168847.77
445,121,6,15,164776.52
446,157,5,14,214831.82
447,127,6,3,270396.23
448,164,4,6,250189.72
449,82,2,12,$76090.32
450,177,2,Unknown,237559.18
451,211,6,Unknown,$308664.77
452,217,6,2,385441.66
453,106,3,10,$156828.41
454,86,,Unknown,97088.26
455,138,,8,195465.13
456,96,,2,252887.36
457,157,6,Unknown,297653.63
458,180,6,6,341620.95
459,,2,10,215847.6
460,133,4,5,223735.25
461,144,3,3,255044.38
462,220,2,6,320434.54
463,171,3,12,200345.71
464,ERROR,???,NaN,INVALID
465,143,3,13,161573.29
466,171,4,9,227176.26
467,ERROR,???,NaN,INVALID
468,183,6,5,350773.34
469,118,4,8,191906.67
470,208,2,12,259036.64
471,115,5,4,246743.94
472,,5,Unknown,281196.38
473,,5,9,286351.92
474,150,4,11,186716.98
475,99,6,6,187477.69
476,81,6,4,228136.09
477,120,4,11,164464.26
478,133,6,4,260230.23
479,114,6,2,267341.16
480,84,4,3,181443.68
481,185,6,4,337691.3
482,,6,11,$260486.0
483,209,5,Unknown,259782.71
484,110,2,9,$145450.07
485,190,6,8,300932.08
486,105,5,4,$222251.52
487,219,5,6,$348612.76
488,160,5,7,282864.58
489,173,6,6,314678.51
490,203,4,6,304822.31
491,110,3,9,162564.17
492,93,,Unknown,106765.38
493,191,2,3,284013.51
494,153,6,2,321991.15
495,212,4,5,$344241.71
496,80,3,3,171253.46
497,212,2,13,220733.99
498,150,3,11,$154773.57
499,209,2,10,262049.87
500,144,5,8,239301.26
501,,6,15,263748.08
502,160,,7,262275.34
503,167,2,10,215906.19
504,128,5,13,167468.81
505,143,6,7,259568.05
506,218,2,15,227518.1
507,150,5,4,$306226.15
508,202,6,2,363131.66
509,212,5,7,322537.81
510,220,4,5,331853.54
511,187,4,7,285805.42
512,149,3,10,184169.06
513,82,3,8,80025.32
514,92,,3,211524.77
515,195,4,Unknown,283652.89
516,130,6,11,222742.74
517,210,5,14,262337.08
518,166,5,12,$196820.37
519,160,4,12,202959.2
520,213,5,8,328037.57
521,100,3,Unknown,177635.51
522,101,,6,157251.77
523,152,,12,224258.46
524,199,6,6,343888.62
525,196,6,8,290004.49
526,173,,6,281452.91
527,153,5,Unknown,262442.99
528,139,2,10,168570.18
529,179,5,5,298519.99
530,152,6,Unknown,226059.81
531,196,,Unknown,300296.52
532,ERROR,???,NaN,INVALID
533,135,4,8,197854.17
534,117,,6,197301.83
535,177,2,3,291854.52
536,104,6,12,165024.49
537,90,6,Unknown,180368.07
538,,5,7,248931.6
539,90,6,14,127668.06
540,166,2,2,241862.15
541,161,6,Unknown,212683.0
542,144,2,9,169870.23
543,219,4,7,$315471.68
544,155,,10,204035.48
545,84,,15,107088.21
546,207,6,4,372136.37
547,,2,15,$85100.88
548,179,5,Unknown,256215.15
549,,3,Unknown,67144.76
550,186,4,14,$222900.26
551,157,2,5,234973.58
552,125,6,13,184338.0
553,189,2,4,279797.32
554,160,6,7,257715.56
555,141,6,10,234942.38
556,,4,11,$152501.0
557,134,4,2,259645.84
558,104,2,9,97185.54
559,156,2,11,152091.95
560,104,6,12,$188547.7
561,165,4,15,156291.6
562,177,2,6,258286.3
563,119,2,12,125069.37
564,180,3,4,264114.78
565,182,6,8,295582.46
566,,3,5,303960.11
567,185,,7,283359.67
568,193,6,4,350354.64
569,101,2,13,$131660.33
570,108,4,9,179893.61
571,146,6,9,209704.13
572,145,3,2,$220318.32
573,82,2,8,102589.68
574,178,3,8,225893.2
575,102,,5,160798.67
576,180,3,2,294932.11
577,208,4,14,258311.8
578,137,3,Unknown,207798.36
579,138,5,5,236413.54
580,218,3,15,229606.02
581,117,6,4,240519.84
582,161,5,8,271653.72
583,118,3,3,214941.45
584,,2,7,193342.44
585,175,3,15,172076.45
586,185,3,13,224043.33
587,192,6,9,286937.92
588,160,5,11,201148.74
589,,6,3,195990.14
590,179,,14,251212.26
591,,5,4,258332.6
592,208,2,4,307277.65
593,195,2,Unknown,251387.69
594,121,2,3,210369.54
595,210,6,4,349381.2
596,117,3,14,133538.93
597,126,,4,200423.19
598,206,3,5,$301889.49
599,ERROR,???,NaN,INVALID
600,88,6,Unknown,112507.56
601,121,4,11,154844.92
602,89,2,14,$55079.2
603,220,2,6,288475.78
604,94,2,11,106195.34
605,153,5,11,227305.95
606,ERROR,???,NaN,INVALID
607,86,5,12,$139300.27
608,134,2,12,121317.9
609,162,2,Unknown,245022.01
610,166,5,9,239590.94
611,217,4,9,301686.5
612,217,2,5,285245.5
613,118,4,15,173791.82
614,,4,13,203971.3
615,ERROR,???,NaN,INVALID
616,203,6,4,358527.23
617,116,2,Unknown,117162.52
618,109,2,6,$160791.04
619,,2,10,111718.67
620,153,4,10,188910.78
621,83,6,10,149435.4
622,ERROR,???,NaN,INVALID
623,92,2,8,141321.72
624,171,4,7,264445.39
625,199,,4,369336.72
626,200,3,5,309888.36
627,164,4,9,229301.57
628,112,6,3,250832.5
629,157,6,9,243818.44
630,190,5,11,274042.79
631,,2,11,225843.44
632,177,,9,242845.19
633,80,3,12,105927.0
634,157,5,Unknown,$224285.06
635,183,,15,190653.41
636,152,2,5,236248.67
637,191,6,5,320303.33
638,,,2,198884.5
639,114,2,4,175055.46
640,ERROR,???,NaN,INVALID
641,207,3,13,223971.26
642,108,,9,197432.4
643,,5,10,253979.77
644,218,6,6,$368473.2
645,200,6,13,269141.25
646,,6,6,$292599.68
647,86,4,9,156664.52
648,83,2,11,100422.12
649,,3,9,205934.78
650,206,5,14,276856.54
651,,2,12,183092.75
652,216,3,8,317844.2
653,153,,8,227954.65
654,190,6,12,$237478.88
655,180,5,14,223951.33
656,160,6,Unknown,$306046.47
657,,4,Unknown,301030.07
658,135,6,Unknown,194710.03
659,127,,13,133429.86
660,162,4,Unknown,283877.2
661,146,4,4,236951.66
662,190,3,11,241365.39
663,144,5,2,288578.49
664,180,6,2,334844.48
665,97,6,5,253636.07
666,157,5,Unknown,298173.91
667,100,,14,135243.66
668,,4,9,144846.42
669,141,5,8,247461.43
670,89,4,2,208012.59
671,213,5,Unknown,297351.94
672,ERROR,???,NaN,INVALID
673,,2,9,175787.32
674,96,3,8,127870.17
675,219,3,7,315559.11
676,186,3,13,191403.63
677,,3,2,294676.4
678,201,3,5,291976.59
679,,6,4,210575.8
680,129,2,10,134594.77
681,198,3,6,291530.65
682,91,2,12,95600.61
683,196,2,3,289146.25
684,193,6,11,249532.84
685,163,3,Unknown,267851.0
686,191,3,5,299622.51
687,171,4,5,273231.23
688,167,3,6,250686.85
689,138,2,8,192426.24
690,143,3,7,196994.7
691,81,,2,222585.82
692,105,5,Unknown,183213.6
693,,4,6,201415.45
694,86,5,9,211631.83
695,198,2,15,187296.16
696,218,6,14,278993.29
697,211,4,2,358170.49
698,132,3,7,206588.36
699,133,3,Unknown,191483.31
700,214,2,9,274252.34
701,96,3,Unknown,150940.2
702,117,5,4,241186.16
703,218,3,Unknown,275323.64
704,213,4,8,314940.92
705,215,6,9,307257.45
706,153,2,4,236663.25
707,153,3,4,$258867.82
708,112,5,6,191888.39
709,117,4,9,169742.85
710,,4,4,312184.95
711,201,4,14,258644.37
712,202,2,Unknown,288029.17
713,ERROR,???,NaN,INVALID
714,217,,12,296680.33
715,210,2,12,230545.86
716,194,6,3,355303.83
717,121,,13,172743.71
718,165,,11,185017.63
719,198,6,14,274203.21
720,157,5,10,228302.74
721,200,2,12,$217771.68
722,206,2,11,228529.18
723,201,2,Unknown,245630.96
724,ERROR,???,NaN,INVALID
725,154,6,Unknown,245392.81
726,160,4,Unknown,246982.09
727,83,3,10,109489.75
728,128,6,11,231150.17
729,109,,9,190252.59
730,193,6,10,$287840.16
731,136,3,15,130342.2
732,108,2,Unknown,172095.08
733,,6,Unknown,$345010.35
734,132,6,Unknown,264733.07
735,169,4,Unknown,296835.8
736,215,3,13,228363.76
737,105,3,10,151116.6
738,177,5,5,283711.64
739,213,,9,280405.04
740,159,5,5,252440.15
741,201,4,4,341590.98
742,181,5,13,240002.68
743,130,4,5,188063.96
744,149,5,7,222032.34
745,196,2,Unknown,$291123.75
746,86,3,8,151791.57
747,213,5,14,256378.53
748,84,2,8,119449.55
749,89,2,4,126902.48
750,204,2,11,226425.03
751,120,6,2,254399.23
752,87,6,2,239453.62
753,167,,3,259486.85
754,101,2,Unknown,101521.79
755,188,6,10,295217.82
756,105,5,3,220141.58
757,122,6,6,227910.37
758,153,4,2,289752.2
759,104,6,7,$205963.29
760,209,4,8,315983.78
761,220,3,2,330448.41
762,148,6,14,192591.63
763,213,3,7,283784.68
764,96,3,15,92797.49
765,183,3,3,292690.66
766,89,,4,172676.11
767,,5,14,150490.07
768,173,2,8,227308.28
769,110,6,12,193462.98
770,160,4,15,149747.81
771,116,2,Unknown,189887.29
772,108,4,10,171313.68
773,172,5,Unknown,218720.08
774,93,3,6,168110.34
775,,6,15,154585.55
776,140,4,5,254153.44
777,184,2,6,271455.54
778,105,,13,96222.69
779,163,5,13,221434.58
780,,4,11,212439.1
781,113,6,12,149571.45
782,,4,5,284573.11
783,137,2,2,247572.21
784,123,2,8,153543.09
785,110,2,13,82494.61
786,148,4,13,179422.61
787,,3,8,224670.1
788,197,2,2,324495.37
789,178,,13,229813.34
790,91,2,6,137849.52
791,90,6,4,214852.57
792,116,4,3,242919.6
793,172,5,6,293004.55
794,205,3,10,$254276.16
795,138,3,2,235791.4
796,204,5,9,299466.14
797,152,3,15,166183.24
798,214,,4,380378.97
799,ERROR,???,NaN,INVALID
800,ERROR,???,NaN,INVALID
801,195,4,13,272683.8
802,94,2,10,112763.26
803,182,2,2,287764.64
804,205,5,13,259840.54
805,174,6,5,277643.12
806,127,,12,183434.32
807,119,5,10,175239.62
808,112,4,15,111098.5
809,211,2,10,247247.03
810,ERROR,???,NaN,INVALID
811,186,4,7,263092.8
812,,3,4,206790.61
813,84,2,8,123642.55
814,204,4,11,272961.96
815,157,2,4,$242849.59
816,117,3,8,$178726.19
817,117,5,8,210356.3
818,142,3,Unknown,$218635.47
819,190,5,Unknown,213285.54
820,,,13,236332.37
821,186,5,Unknown,288746.0
822,168,5,5,287761.28
823,199,3,6,283279.97
824,121,6,5,230490.93
825,205,2,Unknown,$172704.74
826,171,3,Unknown,$292278.46
827,138,2,Unknown,167477.02
828,118,6,11,205030.3
829,108,2,Unknown,77482.3
830,132,4,4,219634.92
831,119,4,7,$200035.24
832,201,,6,296229.6
833,142,3,14,153745.92
834,212,4,2,332704.59
835,,4,8,254130.1
836,94,6,6,203782.57
837,160,4,2,300980.4
838,ERROR,???,NaN,INVALID
839,165,5,13,213000.21
840,,3,2,249107.18
841,188,6,3,338347.84
842,194,4,11,226189.5
843,216,6,5,351964.04
844,143,2,7,205515.21
845,188,5,Unknown,339800.75
846,212,5,15,268041.46
847,205,5,15,260272.36
848,,5,9,229004.52
849,184,2,3,268332.37
850,87,3,4,176464.24
851,126,5,2,270184.85
852,176,5,15,225855.08
853,195,5,4,335882.57
854,218,2,12,235694.79
855,159,6,12,$248482.58
856,ERROR,???,NaN,INVALID
857,ERROR,???,NaN,INVALID
858,85,,8,117846.32
859,105,6,4,231901.14
860,163,3,Unknown,283893.26
861,146,5,15,184152.05
862,109,4,Unknown,$221909.71
863,84,4,10,152702.58
864,101,6,5,216083.32
865,188,6,9,320111.38
866,203,4,11,272726.1
867,,,2,355793.98
868,151,5,5,281940.73
869,146,5,6,$253295.53
870,,,9,206812.67
871,205,5,10,317787.98
872,111,4,15,138179.62
873,,2,9,99654.18
874,129,2,15,121940.24
875,172,,6,215016.42
876,151,6,10,242252.99
877,124,2,11,144610.07
878,ERROR,???,NaN,INVALID
879,189,2,15,201600.19
880,91,3,2,$182206.32
881,100,6,Unknown,172220.17
882,159,,12,$178694.14
883,165,,5,276623.87
884,192,2,12,221339.38
885,96,3,Unknown,208353.2
886,,5,8,239116.5
887,ERROR,???,NaN,INVALID
888,212,4,11,$279936.07
889,129,6,4,255295.81
890,95,3,6,152228.94
891,218,3,4,304574.5
892,140,6,15,191882.21
893,131,2,7,187539.35
894,ERROR,???,NaN,INVALID
895,136,2,12,149030.56
896,ERROR,???,NaN,INVALID
897,109,3,6,158077.58
898,136,4,13,176950.21
899,147,2,2,244391.24
900,174,4,12,215693.64
901,96,2,4,169081.81
902,142,2,14,133063.01
903,93,4,15,114121.32
904,96,3,10,142952.94
905,125,4,13,139781.06
906,89,3,5,178249.1
907,176,6,Unknown,332544.73
908,90,5,10,147274.82
909,161,,8,255200.05
910,219,2,14,233305.13
911,165,3,12,190916.77
912,219,4,2,367991.39
913,83,5,12,103295.39
914,212,6,14,280384.97
915,128,5,Unknown,181172.39
916,158,2,9,192033.81
917,183,6,6,310103.59
918,180,,5,303888.27
919,195,4,3,$330655.92
920,178,4,Unknown,$303400.54
921,123,4,15,150206.11
922,132,3,15,125379.06
923,159,,5,$268008.07
924,143,6,7,255245.53
925,153,5,7,245334.64
926,190,5,8,266487.28
927,141,,6,229986.77
928,185,,3,325463.85
929,,3,6,282199.64
930,,3,8,253771.36
931,198,5,9,307802.53
932,123,2,11,147463.37
933,ERROR,???,NaN,INVALID
934,213,2,8,$275020.6
935,,,Unknown,204618.21
936,96,3,3,180764.91
937,107,4,7,173405.0
938,,4,Unknown,279503.64
939,151,6,7,295243.72
940,123,4,3,242111.72
941,114,4,4,194263.47
942,194,5,10,254401.33
943,111,,5,201285.02
944,132,2,5,173232.55
945,151,4,12,196181.74
946,164,,5,262650.04
947,136,,15,$173482.74
948,,3,4,211155.87
949,100,5,13,132208.64
950,131,,15,149045.14
951,192,5,10,263041.03
952,101,4,11,133054.76
953,ERROR,???,NaN,INVALID
954,208,4,9,284018.01
955,158,6,3,302053.08
956,145,4,10,$206289.03
957,188,3,Unknown,247094.25
958,196,3,6,286920.14
959,,5,8,173546.98
960,157,6,10,209378.16
961,102,2,12,82332.9
962,81,,15,60388.7
963,153,5,4,280898.34
964,,3,5,224422.83
965,184,,Unknown,255961.6
966,87,6,5,$200649.23
967,81,,14,131949.75
968,204,5,14,257273.85
969,141,4,12,$166645.5
970,182,3,2,309672.2
971,174,5,Unknown,233976.99
972,162,,12,150510.8
973,204,5,13,261103.05
974,105,5,6,198983.71
975,209,2,4,292397.18
976,109,5,12,159883.48
977,107,5,13,183320.91
978,111,3,10,154499.02
979,96,4,8,182090.31
980,139,,Unknown,200573.36
981,109,6,7,223856.62
982,179,5,7,293136.01
983,136,2,8,208491.3
984,117,6,6,234092.96
985,159,6,13,263145.47
986,176,2,14,214850.62
987,93,3,15,71687.17
988,166,5,12,$229373.23
989,152,3,13,182691.21
990,157,5,12,205614.49
991,135,3,13,144727.58
992,,3,2,$294225.72
993,166,,8,295885.36
994,124,5,14,157817.27
995,177,,12,218198.36
996,85,6,11,$142221.17
997,178,5,12,238904.99
998,183,2,8,223525.24
999,217,2,14,229131.34
1000,160,2,2,217052.72
1001,88,2,3,$147350.94
1002,212,4,12,267849.27
1003,170,,Unknown,241158.79
1004,135,3,11,167477.87
1005,220,,6,302098.38
1006,217,3,3,353346.63
1007,210,6,Unknown,352419.92
1008,111,6,3,$253386.65
1009,,3,15,157369.94
1010,111,3,10,136748.84
1011,152,6,6,249458.83
1012,216,6,11,291226.86
1013,,3,4,188095.55
1014,187,5,4,334278.44
1015,213,3,6,298388.33
1016,141,,4,212384.18
1017,82,5,12,103135.31
1018,183,2,Unknown,210274.98
1019,168,3,13,$174725.74
1020,123,6,5,218969.99
1021,206,5,4,335056.47
1022,156,,6,269455.68
1023,,,9,283936.31
1024,169,3,8,$215583.35
1025,119,5,3,245309.7
1026,126,6,14,178282.78
1027,191,2,7,270744.54
1028,88,3,12,88851.25
1029,220,5,14,273742.75
1030,ERROR,???,NaN,INVALID
1031,140,,12,159643.67
1032,189,3,11,219862.16
1033,143,5,5,230742.11
1034,118,,3,216880.09
1035,131,2,15,131762.42
